Region,Region_label,Kjopegrupper,Kjopegrupper_label,PetroleumProd,PetroleumProd_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1995M01,1995M01,668,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1995M02,1995M02,681,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1995M03,1995M03,730,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1995M04,1995M04,636,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1995M05,1995M05,740,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1995M06,1995M06,781,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1995M07,1995M07,685,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1995M08,1995M08,790,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1995M09,1995M09,739,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1995M10,1995M10,754,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1995M11,1995M11,748,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1995M12,1995M12,749,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1996M01,1996M01,728,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1996M02,1996M02,780,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1996M03,1996M03,781,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1996M04,1996M04,711,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1996M05,1996M05,787,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1996M06,1996M06,839,
0,Hele landet,00,Alle kjøpegrupper,00,Petroleumsprodukter i alt,Petroleum,Salg,1996M07,1996M07,797,
