Kjoretoytype,Kjoretoytype_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
0,Kjøretøy i alt,1,Bensin,Kjorelengde,Kjørelengde (mill. km),2010,2010,18680.7,
0,Kjøretøy i alt,1,Bensin,Kjorelengde,Kjørelengde (mill. km),2011,2011,17423.8,
0,Kjøretøy i alt,1,Bensin,Kjorelengde,Kjørelengde (mill. km),2012,2012,16346.6,
0,Kjøretøy i alt,1,Bensin,Kjorelengde,Kjørelengde (mill. km),2013,2013,15380.8,
0,Kjøretøy i alt,1,Bensin,Kjorelengde,Kjørelengde (mill. km),2014,2014,14427.3,
0,Kjøretøy i alt,1,Bensin,Kjorelengde,Kjørelengde (mill. km),2015,2015,13735.7,
0,Kjøretøy i alt,1,Bensin,Kjorelengde,Kjørelengde (mill. km),2016,2016,12441.9,
0,Kjøretøy i alt,1,Bensin,Kjorelengde,Kjørelengde (mill. km),2017,2017,11730.3,
0,Kjøretøy i alt,1,Bensin,Kjorelengde,Kjørelengde (mill. km),2018,2018,10930.1,
0,Kjøretøy i alt,1,Bensin,Kjorelengde,Kjørelengde (mill. km),2019,2019,9994.5,
0,Kjøretøy i alt,1,Bensin,Kjorelengde,Kjørelengde (mill. km),2020,2020,8770.1,
0,Kjøretøy i alt,1,Bensin,Kjorelengde,Kjørelengde (mill. km),2021,2021,8152.2,
0,Kjøretøy i alt,1,Bensin,Kjorelengde,Kjørelengde (mill. km),2022,2022,7317.6,
0,Kjøretøy i alt,1,Bensin,Kjorelengde,Kjørelengde (mill. km),2023,2023,6607.3,
0,Kjøretøy i alt,1,Bensin,Kjorelengde,Kjørelengde (mill. km),2024,2024,6069.1,
0,Kjøretøy i alt,1,Bensin,Kjorelengde,Kjørelengde (mill. km),2025,2025,5575.9,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2005,2005,12216.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2006,2006,12132.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2007,2007,12265.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2008,2008,11885.0,
0,Kjøretøy i alt,1,Bensin,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2009,2009,11514.0,
