Energibalanse,Energibalanse_label,EnergiProdukt,EnergiProdukt_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2000,2000,32039.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2001,2001,33933.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2002,2002,34237.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2003,2003,34789.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2004,2004,35943.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2005,2005,36542.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2006,2006,37645.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2007,2007,38751.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2008,2008,38753.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2009,2009,38299.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2010,2010,39428.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2011,2011,39117.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2012,2012,39386.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2013,2013,39504.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2014,2014,40300.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2015,2015,40745.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2016,2016,41892.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2017,2017,41008.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2018,2018,40570.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2019,2019,39603.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2020,2020,37540.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2021,2021,39110.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2022,2022,39418.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2023,2023,37546.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2024,2024,36079.0,
EB120201,12.2.1 Veitransport,EPTOT00,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2025,2025,33858.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1990,1990,102.7,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1991,1991,101.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1992,1992,101.4,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1993,1993,103.7,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1994,1994,102.3,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenPJ,Energibalansen (PJ),1995,1995,103.7,
