kontroll,gruppe,drivlinje,aar_fra,aar_til,antall_aar,korr_niva_km_mot_alder,korr_niva_km_mot_tid,korr_alder_mot_tid,korr_differanse_km_mot_alder,endring_pct_per_aar,status,identifisert,merknad
identifikasjon_kjorelengde_per_kjoretoy,personbiler,ikke_elektrisk,2008,2025,18,-0.977676282711825,-0.9877658244011979,0.9896568713803253,-0.027755582549886464,-1.4977612125297246,konstruert fra observerte data,False,"nivåsammenhengen mellom kjørelengde per kjøretøy og flåtealder kan ikke skilles fra en ren tidstrend: alder og kalenderår er nær kollineære i vinduet, og sammenhengen forsvinner i førstedifferanser. Størrelsen føres derfor som scenarioforutsetning med spenn, ikke som estimert relasjon (D-0034)"
identifikasjon_kjorelengde_per_kjoretoy,personbiler,elektrisitet,2012,2025,14,0.807784842590531,0.8586706665248708,0.958634942657689,0.18664786567109753,5.319552685822959,konstruert fra observerte data,False,"nivåsammenhengen mellom kjørelengde per kjøretøy og flåtealder kan ikke skilles fra en ren tidstrend: alder og kalenderår er nær kollineære i vinduet, og sammenhengen forsvinner i førstedifferanser. Størrelsen føres derfor som scenarioforutsetning med spenn, ikke som estimert relasjon (D-0034)"
