serie_id,gruppe,drivlinje,variabel,enhet,frekvens,periode,verdi,status,kilde,segment,brudd
bestand,personbiler,diesel,bestand_3112,kjøretøy,A,2019,1281019.0,observert,SSB 07849,,
bestand,personbiler,diesel,bestand_3112,kjøretøy,A,2020,1246671.0,observert,SSB 07849,,
bestand,personbiler,diesel,bestand_3112,kjøretøy,A,2021,1204097.0,observert,SSB 07849,,
bestand,personbiler,diesel,bestand_3112,kjøretøy,A,2022,1135538.0,observert,SSB 07849,,
bestand,personbiler,diesel,bestand_3112,kjøretøy,A,2023,1065135.0,observert,SSB 07849,,
bestand,personbiler,diesel,bestand_3112,kjøretøy,A,2024,1005761.0,observert,SSB 07849,,
bestand,personbiler,diesel,bestand_3112,kjøretøy,A,2025,942780.0,observert,SSB 07849,,
bestand,personbiler,elektrisitet,bestand_3112,kjøretøy,A,2008,1693.0,observert,SSB 07849,,
bestand,personbiler,elektrisitet,bestand_3112,kjøretøy,A,2009,1776.0,observert,SSB 07849,,
bestand,personbiler,elektrisitet,bestand_3112,kjøretøy,A,2010,2068.0,observert,SSB 07849,,
bestand,personbiler,elektrisitet,bestand_3112,kjøretøy,A,2011,3909.0,observert,SSB 07849,,
bestand,personbiler,elektrisitet,bestand_3112,kjøretøy,A,2012,8031.0,observert,SSB 07849,,
bestand,personbiler,elektrisitet,bestand_3112,kjøretøy,A,2013,17770.0,observert,SSB 07849,,
bestand,personbiler,elektrisitet,bestand_3112,kjøretøy,A,2014,38652.0,observert,SSB 07849,,
bestand,personbiler,elektrisitet,bestand_3112,kjøretøy,A,2015,69134.0,observert,SSB 07849,,
bestand,personbiler,elektrisitet,bestand_3112,kjøretøy,A,2016,97532.0,observert,SSB 07849,,
bestand,personbiler,elektrisitet,bestand_3112,kjøretøy,A,2017,138983.0,observert,SSB 07849,,
bestand,personbiler,elektrisitet,bestand_3112,kjøretøy,A,2018,195351.0,observert,SSB 07849,,
bestand,personbiler,elektrisitet,bestand_3112,kjøretøy,A,2019,260692.0,observert,SSB 07849,,
bestand,personbiler,elektrisitet,bestand_3112,kjøretøy,A,2020,340002.0,observert,SSB 07849,,
bestand,personbiler,elektrisitet,bestand_3112,kjøretøy,A,2021,460734.0,observert,SSB 07849,,
bestand,personbiler,elektrisitet,bestand_3112,kjøretøy,A,2022,599169.0,observert,SSB 07849,,
bestand,personbiler,elektrisitet,bestand_3112,kjøretøy,A,2023,689169.0,observert,SSB 07849,,
bestand,personbiler,elektrisitet,bestand_3112,kjøretøy,A,2024,788750.0,observert,SSB 07849,,
bestand,personbiler,elektrisitet,bestand_3112,kjøretøy,A,2025,945182.0,observert,SSB 07849,,
bestand,personbiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2008,126.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,personbiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2009,131.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,personbiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2010,144.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,personbiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2011,180.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,personbiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2012,357.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,personbiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2013,2070.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,personbiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2014,999.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,personbiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2015,1013.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,personbiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2016,91054.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,personbiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2017,144630.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,personbiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2018,189650.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,personbiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2019,226926.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,personbiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2020,272314.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,personbiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2021,324089.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,personbiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2022,348969.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
bestand,personbiler,hybrid_og_annet,bestand_3112,kjøretøy,A,2023,362194.0,observert,SSB 07849,,hybrider kan ikke skilles ut; ligger i «annet drivstoff»
