kontroll,periode,bestandsvariabel,kobling,bestand_3112,implisitt_i_bruk,avvik_pct
bestand_mot_aktivitet,2023,Personbil1,personbiler i alt (15),2876692,3164422.5651942524,10.002133186112804
bestand_mot_aktivitet,2024,Personbil1,personbiler i alt (15),2879728,3160312.0820329916,9.743423060545698
bestand_mot_aktivitet,2025,Personbil1,personbiler i alt (15),2935738,3179832.599118943,8.314590713440474
bestand_mot_aktivitet,2008,Varebil4,små + store varebiler (29+30),379343,375993.49152471765,-0.8829762181672862
bestand_mot_aktivitet,2009,Varebil4,små + store varebiler (29+30),387546,381619.00308820035,-1.5293660395926278
bestand_mot_aktivitet,2010,Varebil4,små + store varebiler (29+30),397279,392540.328535568,-1.192781764057993
bestand_mot_aktivitet,2011,Varebil4,små + store varebiler (29+30),410730,408409.5789570434,-0.56495046452818
bestand_mot_aktivitet,2012,Varebil4,små + store varebiler (29+30),424634,422133.9798350236,-0.5887470539279516
bestand_mot_aktivitet,2013,Varebil4,små + store varebiler (29+30),434636,434089.7667745601,-0.12567601980505438
bestand_mot_aktivitet,2014,Varebil4,små + store varebiler (29+30),441967,441495.9639606356,-0.10657719679623145
bestand_mot_aktivitet,2015,Varebil4,små + store varebiler (29+30),450385,451256.4900954369,0.19349891657958196
bestand_mot_aktivitet,2016,Varebil4,små + store varebiler (29+30),461498,463271.4099572273,0.38427251195611856
bestand_mot_aktivitet,2017,Varebil4,små + store varebiler (29+30),470855,474383.34816768975,0.749349198307292
bestand_mot_aktivitet,2018,Varebil4,små + store varebiler (29+30),476873,486548.7139862403,2.028991783187628
bestand_mot_aktivitet,2019,Varebil4,små + store varebiler (29+30),489417,497830.51855786704,1.7190899698757978
bestand_mot_aktivitet,2020,Varebil4,små + store varebiler (29+30),495965,509003.3869052201,2.628892543873085
bestand_mot_aktivitet,2021,Varebil4,små + store varebiler (29+30),507911,519502.0340522303,2.282099433213758
