aar,00,03,04a,04b
2010,9332,1625,836,2523
2011,9173,1491,839,2619
2012,9156,1393,863,2727
2013,9026,1308,916,2802
2014,8599,1235,844,2885
2015,8439,1177,875,2979
2016,8344,1153,900,3098
2017,8207,1125,895,3038
2018,8279,1091,972,3021
2019,7900,1029,958,2925
2020,7723,968,933,2872
2021,7710,970,962,2914
2022,546,64,69,223
