aar,00,01,02a,02b
2021,0.0,0.0,0.0,0.0
2022,8257.0,922.0,2929.0,924.0
2023,7978.0,907.0,2774.0,938.0
2024,7462.0,864.0,2523.0,957.0
2025,7493.0,826.0,2353.0,925.0
2026,3585.0,394.0,1164.0,470.0
