TypeRegistrering,TypeRegistrering_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,1999M12,1999M12,3,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2000M01,2000M01,12,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2000M02,2000M02,25,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2000M03,2000M03,26,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2000M04,2000M04,2,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2000M05,2000M05,35,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2000M06,2000M06,9,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2000M07,2000M07,17,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2000M08,2000M08,23,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2000M09,2000M09,29,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2000M10,2000M10,5,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2000M11,2000M11,7,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2000M12,2000M12,8,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2001M01,2001M01,14,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2001M02,2001M02,2,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2001M03,2001M03,2,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2001M04,2001M04,4,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2001M05,2001M05,8,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2001M06,2001M06,7,
