TypeRegistrering,TypeRegistrering_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
N,Nye kjøretøy,19,Elektrisk/nullutslipp,VareCampBiler,Vare- og campingbiler,2025M11,2025M11,1188,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,VareCampBiler,Vare- og campingbiler,2025M12,2025M12,2211,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,VareCampBiler,Vare- og campingbiler,2026M01,2026M01,761,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,VareCampBiler,Vare- og campingbiler,2026M02,2026M02,679,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,VareCampBiler,Vare- og campingbiler,2026M03,2026M03,1130,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,VareCampBiler,Vare- og campingbiler,2026M04,2026M04,1109,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,VareCampBiler,Vare- og campingbiler,2026M05,2026M05,1051,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,VareCampBiler,Vare- og campingbiler,2026M06,2026M06,1527,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,VareCampBiler,Vare- og campingbiler,2026M07,2026M07,695,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1995M01,1995M01,8849,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1995M02,1995M02,7687,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1995M03,1995M03,10148,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1995M04,1995M04,7980,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1995M05,1995M05,10328,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1995M06,1995M06,9883,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1995M07,1995M07,10143,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1995M08,1995M08,8507,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1995M09,1995M09,8658,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1995M10,1995M10,9677,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1995M11,1995M11,8939,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1995M12,1995M12,4822,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1996M01,1996M01,11581,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1996M02,1996M02,11168,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1996M03,1996M03,13645,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1996M04,1996M04,11864,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1996M05,1996M05,13305,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1996M06,1996M06,12287,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1996M07,1996M07,14333,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1996M08,1996M08,10446,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1996M09,1996M09,10834,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1996M10,1996M10,13918,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1996M11,1996M11,11733,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1996M12,1996M12,9593,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1997M01,1997M01,13284,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1997M02,1997M02,11147,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1997M03,1997M03,10180,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1997M04,1997M04,14302,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1997M05,1997M05,13403,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1997M06,1997M06,13163,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1997M07,1997M07,14335,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1997M08,1997M08,10806,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1997M09,1997M09,11480,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1997M10,1997M10,12922,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1997M11,1997M11,11578,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1997M12,1997M12,11666,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1998M01,1998M01,9638,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1998M02,1998M02,9684,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1998M03,1998M03,12913,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1998M04,1998M04,12347,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1998M05,1998M05,14267,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1998M06,1998M06,13020,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1998M07,1998M07,14630,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1998M08,1998M08,10548,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1998M09,1998M09,10976,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1998M10,1998M10,10647,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1998M11,1998M11,10311,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1998M12,1998M12,7319,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1999M01,1999M01,9569,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1999M02,1999M02,8825,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1999M03,1999M03,10783,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1999M04,1999M04,9727,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1999M05,1999M05,9556,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1999M06,1999M06,10676,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1999M07,1999M07,12264,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1999M08,1999M08,8987,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1999M09,1999M09,10062,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1999M10,1999M10,10163,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1999M11,1999M11,10685,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,1999M12,1999M12,8727,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2000M01,2000M01,11545,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2000M02,2000M02,9519,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2000M03,2000M03,11094,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2000M04,2000M04,9183,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2000M05,2000M05,11903,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2000M06,2000M06,10187,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2000M07,2000M07,10907,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2000M08,2000M08,9341,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2000M09,2000M09,9003,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2000M10,2000M10,9197,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2000M11,2000M11,9505,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2000M12,2000M12,8219,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2001M01,2001M01,9854,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2001M02,2001M02,8861,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2001M03,2001M03,11633,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2001M04,2001M04,9097,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2001M05,2001M05,10338,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2001M06,2001M06,9432,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2001M07,2001M07,10595,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2001M08,2001M08,9562,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2001M09,2001M09,8931,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2001M10,2001M10,10056,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2001M11,2001M11,9114,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2001M12,2001M12,7082,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2002M01,2002M01,8712,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2002M02,2002M02,8378,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2002M03,2002M03,8488,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2002M04,2002M04,10370,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2002M05,2002M05,9538,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2002M06,2002M06,8860,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2002M07,2002M07,10684,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2002M08,2002M08,8980,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2002M09,2002M09,8772,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2002M10,2002M10,9875,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2002M11,2002M11,8373,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2002M12,2002M12,6667,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2003M01,2003M01,8387,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2003M02,2003M02,8038,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2003M03,2003M03,8453,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2003M04,2003M04,8531,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2003M05,2003M05,9727,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2003M06,2003M06,9219,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2003M07,2003M07,10552,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2003M08,2003M08,8191,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2003M09,2003M09,9398,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2003M10,2003M10,10899,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2003M11,2003M11,9621,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2003M12,2003M12,7890,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2004M01,2004M01,9731,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2004M02,2004M02,10132,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2004M03,2004M03,12701,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2004M04,2004M04,10872,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2004M05,2004M05,10835,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2004M06,2004M06,11609,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2004M07,2004M07,11823,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2004M08,2004M08,9616,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2004M09,2004M09,11069,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2004M10,2004M10,11594,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2004M11,2004M11,11951,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2004M12,2004M12,14469,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2005M01,2005M01,9620,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2005M02,2005M02,10898,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2005M03,2005M03,12325,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2005M04,2005M04,13178,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2005M05,2005M05,10982,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2005M06,2005M06,10885,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2005M07,2005M07,10723,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2005M08,2005M08,9474,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2005M09,2005M09,9781,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2005M10,2005M10,9751,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2005M11,2005M11,10133,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2005M12,2005M12,11012,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2006M01,2006M01,8229,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2006M02,2006M02,8247,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2006M03,2006M03,10786,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2006M04,2006M04,9013,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2006M05,2006M05,11278,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2006M06,2006M06,10344,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2006M07,2006M07,10904,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2006M08,2006M08,9578,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2006M09,2006M09,9753,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2006M10,2006M10,9538,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2006M11,2006M11,9727,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2006M12,2006M12,12725,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2007M01,2007M01,13199,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2007M02,2007M02,10532,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2007M03,2007M03,12247,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2007M04,2007M04,9545,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2007M05,2007M05,12886,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2007M06,2007M06,11728,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2007M07,2007M07,12684,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2007M08,2007M08,11494,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2007M09,2007M09,9994,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2007M10,2007M10,12510,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2007M11,2007M11,11251,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2007M12,2007M12,10339,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2008M01,2008M01,10299,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2008M02,2008M02,11132,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2008M03,2008M03,10079,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2008M04,2008M04,12430,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2008M05,2008M05,10698,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2008M06,2008M06,10176,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2008M07,2008M07,9983,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2008M08,2008M08,8253,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2008M09,2008M09,8908,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2008M10,2008M10,8808,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2008M11,2008M11,7328,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2008M12,2008M12,8223,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2009M01,2009M01,5541,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2009M02,2009M02,6517,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2009M03,2009M03,7894,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2009M04,2009M04,7767,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2009M05,2009M05,7698,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2009M06,2009M06,7861,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2009M07,2009M07,9641,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2009M08,2009M08,8193,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2009M09,2009M09,9806,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2009M10,2009M10,10453,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2009M11,2009M11,9822,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2009M12,2009M12,10625,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2010M01,2010M01,9890,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2010M02,2010M02,9329,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2010M03,2010M03,11857,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2010M04,2010M04,10989,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2010M05,2010M05,10185,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2010M06,2010M06,11376,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2010M07,2010M07,11768,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2010M08,2010M08,10646,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2010M09,2010M09,11400,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2010M10,2010M10,10868,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2010M11,2010M11,12104,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2010M12,2010M12,10471,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2011M01,2011M01,10515,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2011M02,2011M02,10647,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2011M03,2011M03,12821,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2011M04,2011M04,11344,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2011M05,2011M05,13050,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2011M06,2011M06,10387,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2011M07,2011M07,11217,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2011M08,2011M08,11420,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2011M09,2011M09,11634,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2011M10,2011M10,11457,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2011M11,2011M11,12186,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2011M12,2011M12,11558,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2012M01,2012M01,10638,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2012M02,2012M02,10784,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2012M03,2012M03,12750,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2012M04,2012M04,10600,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2012M05,2012M05,12311,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2012M06,2012M06,10644,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2012M07,2012M07,11505,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2012M08,2012M08,10915,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2012M09,2012M09,10088,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2012M10,2012M10,11180,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2012M11,2012M11,11045,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2012M12,2012M12,8827,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2013M01,2013M01,10675,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2013M02,2013M02,10219,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2013M03,2013M03,9850,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2013M04,2013M04,12935,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2013M05,2013M05,10978,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2013M06,2013M06,9971,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2013M07,2013M07,10256,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2013M08,2013M08,10090,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2013M09,2013M09,10272,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2013M10,2013M10,10862,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2013M11,2013M11,9818,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2013M12,2013M12,9709,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2014M01,2014M01,9346,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2014M02,2014M02,8976,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2014M03,2014M03,10038,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2014M04,2014M04,9934,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2014M05,2014M05,10044,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2014M06,2014M06,9157,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2014M07,2014M07,9423,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2014M08,2014M08,8896,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2014M09,2014M09,9120,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2014M10,2014M10,10430,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2014M11,2014M11,9034,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2014M12,2014M12,10287,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2015M01,2015M01,7538,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2015M02,2015M02,7650,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2015M03,2015M03,9396,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2015M04,2015M04,9272,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2015M05,2015M05,8500,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2015M06,2015M06,9675,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2015M07,2015M07,9063,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2015M08,2015M08,9095,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2015M09,2015M09,8748,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2015M10,2015M10,9168,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2015M11,2015M11,8619,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2015M12,2015M12,9654,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2016M01,2016M01,7115,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2016M02,2016M02,7518,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2016M03,2016M03,7907,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2016M04,2016M04,8597,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2016M05,2016M05,8014,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2016M06,2016M06,8625,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2016M07,2016M07,7050,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2016M08,2016M08,7567,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2016M09,2016M09,7253,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2016M10,2016M10,6892,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2016M11,2016M11,7383,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2016M12,2016M12,8572,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2017M01,2017M01,6367,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2017M02,2017M02,6166,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2017M03,2017M03,6844,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2017M04,2017M04,6569,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2017M05,2017M05,7708,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2017M06,2017M06,6622,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2017M07,2017M07,5759,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2017M08,2017M08,6256,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2017M09,2017M09,5412,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2017M10,2017M10,5352,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2017M11,2017M11,6255,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2017M12,2017M12,6689,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2018M01,2018M01,4295,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2018M02,2018M02,4536,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2018M03,2018M03,5177,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2018M04,2018M04,6381,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2018M05,2018M05,5704,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2018M06,2018M06,6080,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2018M07,2018M07,4587,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2018M08,2018M08,6696,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2018M09,2018M09,3000,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2018M10,2018M10,3805,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2018M11,2018M11,4149,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2018M12,2018M12,4280,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2019M01,2019M01,3243,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2019M02,2019M02,3923,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2019M03,2019M03,4093,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2019M04,2019M04,4316,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2019M05,2019M05,4574,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2019M06,2019M06,4029,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2019M07,2019M07,3116,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2019M08,2019M08,4391,
N,Nye kjøretøy,20,Fossil,Personbiler,Personbiler,2019M09,2019M09,2403,
