UtslpTilLuft,UtslpTilLuft_label,UtslpEnergivare,UtslpEnergivare_label,UtslpKomp,UtslpKomp_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2019,2019,8621.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2020,2020,8246.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2021,2021,8589.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2022,2022,8612.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2023,2023,7950.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2024,2024,7428.0,
5,Veitrafikk,VT0,I alt,K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2025,2025,6821.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1990,1990,5338.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1991,1991,5184.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1992,1992,5059.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1993,1993,5002.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1994,1994,4951.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1995,1995,4852.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1996,1996,5045.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1997,1997,4956.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1998,1998,5012.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1999,1999,4975.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2000,2000,4823.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2001,2001,5006.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2002,2002,4962.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2003,2003,4904.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2004,2004,4874.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2005,2005,4693.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2006,2006,4503.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2007,2007,4262.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2008,2008,3981.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2009,2009,3730.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2010,2010,3506.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2011,2011,3172.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2012,2012,2948.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2013,2013,2737.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2014,2014,2598.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2015,2015,2435.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2016,2016,2284.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2017,2017,2212.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2018,2018,2119.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2019,2019,1936.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2020,2020,1815.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2021,2021,1659.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2022,2022,1684.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2023,2023,1411.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2024,2024,1458.0,
5,Veitrafikk,VT4,"Bensin, parafin",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2025,2025,,:
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1990,1990,1951.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1991,1991,1990.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1992,1992,2148.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1993,1993,2378.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1994,1994,2326.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1995,1995,2544.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1996,1996,2724.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1997,1997,2798.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1998,1998,2975.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",1999,1999,3442.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2000,2000,3423.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2001,2001,3739.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2002,2002,3852.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2003,2003,4053.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2004,2004,4381.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2005,2005,4725.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2006,2006,5191.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2007,2007,5661.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2008,2008,5803.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2009,2009,5900.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2010,2010,6356.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2011,2011,6631.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2012,2012,6866.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2013,2013,7114.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2014,2014,7460.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2015,2015,7668.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2016,2016,7541.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2017,2017,6738.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2018,2018,7084.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2019,2019,6630.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2020,2020,6385.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2021,2021,6887.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2022,2022,6881.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2023,2023,6484.0,
5,Veitrafikk,VT5,"Diesel-, gass- og lett fyringsolje, spesialdestillat",K11,Karbondioksid (CO2),Utslipp,"Utslipp til luft (CO2 i 1 000 tonn, CH4 og N2O i tonn, HFK, PFK og SF6 i kg)",2024,2024,5925.0,
