PetroleumProd,PetroleumProd_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1992M01,1992M01,6.54,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1992M02,1992M02,6.5,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1992M03,1992M03,6.6,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1992M04,1992M04,6.64,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1992M05,1992M05,6.68,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1992M06,1992M06,6.71,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1992M07,1992M07,6.84,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1992M08,1992M08,6.92,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1992M09,1992M09,6.84,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1992M10,1992M10,6.94,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1992M11,1992M11,6.99,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1992M12,1992M12,6.96,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1993M01,1993M01,7.08,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1993M02,1993M02,7.11,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1993M03,1993M03,7.14,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1993M04,1993M04,7.16,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1993M05,1993M05,7.15,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1993M06,1993M06,7.1,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1993M07,1993M07,7.17,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1993M08,1993M08,7.19,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1993M09,1993M09,7.17,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1993M10,1993M10,7.11,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1993M11,1993M11,7.1,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),1993M12,1993M12,6.99,
