Alder,Alder_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
04,8 - 11 år,Personbiler,Registrerte personbiler,2024,2024,584409,
04,8 - 11 år,Personbiler,Registrerte personbiler,2025,2025,575747,
04,8 - 11 år,Varebiler,Registrerte varebiler,2008,2008,82862,
04,8 - 11 år,Varebiler,Registrerte varebiler,2009,2009,81568,
04,8 - 11 år,Varebiler,Registrerte varebiler,2010,2010,81880,
04,8 - 11 år,Varebiler,Registrerte varebiler,2011,2011,85375,
04,8 - 11 år,Varebiler,Registrerte varebiler,2012,2012,93957,
04,8 - 11 år,Varebiler,Registrerte varebiler,2013,2013,112240,
04,8 - 11 år,Varebiler,Registrerte varebiler,2014,2014,132296,
04,8 - 11 år,Varebiler,Registrerte varebiler,2015,2015,136437,
04,8 - 11 år,Varebiler,Registrerte varebiler,2016,2016,125238,
04,8 - 11 år,Varebiler,Registrerte varebiler,2017,2017,114683,
04,8 - 11 år,Varebiler,Registrerte varebiler,2018,2018,107110,
04,8 - 11 år,Varebiler,Registrerte varebiler,2019,2019,105384,
04,8 - 11 år,Varebiler,Registrerte varebiler,2020,2020,111382,
04,8 - 11 år,Varebiler,Registrerte varebiler,2021,2021,111771,
04,8 - 11 år,Varebiler,Registrerte varebiler,2022,2022,109242,
04,8 - 11 år,Varebiler,Registrerte varebiler,2023,2023,111779,
04,8 - 11 år,Varebiler,Registrerte varebiler,2024,2024,108075,
04,8 - 11 år,Varebiler,Registrerte varebiler,2025,2025,112717,
05,12 - 15 år,Personbiler,Registrerte personbiler,2008,2008,458234,
05,12 - 15 år,Personbiler,Registrerte personbiler,2009,2009,489943,
05,12 - 15 år,Personbiler,Registrerte personbiler,2010,2010,501392,
05,12 - 15 år,Personbiler,Registrerte personbiler,2011,2011,484917,
05,12 - 15 år,Personbiler,Registrerte personbiler,2012,2012,462810,
05,12 - 15 år,Personbiler,Registrerte personbiler,2013,2013,436539,
05,12 - 15 år,Personbiler,Registrerte personbiler,2014,2014,425574,
05,12 - 15 år,Personbiler,Registrerte personbiler,2015,2015,444693,
05,12 - 15 år,Personbiler,Registrerte personbiler,2016,2016,462703,
05,12 - 15 år,Personbiler,Registrerte personbiler,2017,2017,485898,
05,12 - 15 år,Personbiler,Registrerte personbiler,2018,2018,515420,
05,12 - 15 år,Personbiler,Registrerte personbiler,2019,2019,504687,
05,12 - 15 år,Personbiler,Registrerte personbiler,2020,2020,479434,
05,12 - 15 år,Personbiler,Registrerte personbiler,2021,2021,489043,
05,12 - 15 år,Personbiler,Registrerte personbiler,2022,2022,490903,
05,12 - 15 år,Personbiler,Registrerte personbiler,2023,2023,509875,
05,12 - 15 år,Personbiler,Registrerte personbiler,2024,2024,483365,
05,12 - 15 år,Personbiler,Registrerte personbiler,2025,2025,512643,
05,12 - 15 år,Varebiler,Registrerte varebiler,2008,2008,41798,
05,12 - 15 år,Varebiler,Registrerte varebiler,2009,2009,46833,
05,12 - 15 år,Varebiler,Registrerte varebiler,2010,2010,49136,
05,12 - 15 år,Varebiler,Registrerte varebiler,2011,2011,52059,
05,12 - 15 år,Varebiler,Registrerte varebiler,2012,2012,55697,
05,12 - 15 år,Varebiler,Registrerte varebiler,2013,2013,54990,
