Kjopegrupper,Kjopegrupper_label,Produkter,Produkter_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
00,Alle kjøpegrupper,00,Alle produkt,Total,Totalt sal,2026M06,2026M06,660.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M01,2021M01,547.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M02,2021M02,576.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M03,2021M03,602.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M04,2021M04,581.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M05,2021M05,636.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M06,2021M06,703.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M07,2021M07,698.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M08,2021M08,704.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M09,2021M09,702.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M10,2021M10,717.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M11,2021M11,703.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2021M12,2021M12,662.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2022M01,2022M01,555.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2022M02,2022M02,619.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2022M03,2022M03,678.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2022M04,2022M04,624.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2022M05,2022M05,731.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2022M06,2022M06,724.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2022M07,2022M07,716.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2022M08,2022M08,730.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2022M09,2022M09,747.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2022M10,2022M10,686.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2022M11,2022M11,678.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2022M12,2022M12,655.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2023M01,2023M01,604.0,
00,Alle kjøpegrupper,00,Alle produkt,Petroleum,Sal av petroleumsprodukt (inkl. iblanda bio),2023M02,2023M02,573.0,
